Bankrupt?, Current Ratio, Retained Earnings to Total Assets, ROA(C) before interest and depreciation before interest, Net worth/Assets
1,0.002258963,0.903224771,0.370594257,0.792423739
1,0.006016206,0.931065218,0.464290937,0.828823654
1,0.011542554,0.909903362,0.426071272,0.792484204
1,0.004194059,0.906902159,0.399844001,0.848535236
1,0.006022446,0.913850197,0.465022181,0.893490945
1,0.002740085,0.903041267,0.388680349,0.819572513
0,0.00467206,0.911441408,0.390922829,0.783898177
0,0.00965738,0.935449309,0.508360552,0.891797926
0,0.013498866,0.935200209,0.488519475,0.941409439
0,0.011474535,0.938289897,0.495685663,0.878707259
0,0.006097329,0.942828956,0.482474528,0.896423497
0,0.00862899,0.932955215,0.444401111,0.905614173
0,0.006630869,0.930139635,0.491151952,0.855337546
0,0.010100437,0.930763203,0.474040852,0.89343048
0,0.018859224,0.940251658,0.506703066,0.910360674
0,0.01133101,0.93354091,0.513820504,0.900928137
0,0.006217765,0.942018219,0.488909472,0.938718747
0,0.01615658,0.948858907,0.53595281,0.921274602
0,0.007219946,0.935009282,0.504070589,0.858663119
0,0.013358461,0.933563971,0.487398235,0.922514134
0,0.026719417,0.93976514,0.485253254,0.903649061
0,0.015759077,0.937920805,0.504558085,0.899265351
0,0.007162536,0.936223802,0.51201677,0.853493364
0,0.005166287,0.938561233,0.49485692,0.806965565
0,0.005716051,0.933883562,0.509969288,0.805484173
0,0.006329465,0.923742746,0.444986106,0.853251504
0,0.005563789,0.942045501,0.519280456,0.907942075
0,0.021880743,0.943096297,0.54740896,0.96390241
0,0.015599951,0.937685848,0.500853118,0.910421139
1,0.00429203,0.908947698,0.416126359,0.780391208
1,0.00212355,0.868460717,0.462194706,0.771109835
0,0.003358492,0.908330179,0.476088334,0.791758624
0,0.008700753,0.93747354,0.505874324,0.883151435
0,0.011385924,0.937101764,0.486374494,0.93766061
0,0.010821183,0.934730337,0.494369424,0.875895637
0,0.006622132,0.938233789,0.475162092,0.877377029
0,0.006099825,0.927407109,0.462925949,0.860718929
0,0.009493262,0.930539498,0.478915809,0.852798017
0,0.019165619,0.932102119,0.481060791,0.904616501
0,0.016869838,0.934363318,0.486228246,0.91991414
0,0.008481721,0.932853038,0.507824307,0.881125858
0,0.005397799,0.942100288,0.48915322,0.93097923
0,0.011685455,0.945429866,0.511188027,0.91335369
0,0.006009966,0.938496381,0.523034173,0.862018926
0,0.010436161,0.935180058,0.508848048,0.908849049
0,0.021259216,0.94055514,0.488958222,0.905765335
0,0.016698856,0.937669899,0.502120606,0.900323488
0,0.007109494,0.937543557,0.523082923,0.85805847
0,0.005312932,0.939119704,0.493345683,0.798893491
0,0.005530092,0.932966188,0.505630576,0.815339964
0,0.00394757,0.9211574,0.469555891,0.84578408
0,0.004952247,0.941752414,0.523716667,0.908395562
0,0.014818675,0.937410454,0.521912933,0.948151283
0,0.010818063,0.936300905,0.503193097,0.906097893
1,0.003198118,0.920882488,0.453029786,0.78964235
1,0.002891099,0.91282594,0.472090869,0.764700547
1,0.004328848,0.841966378,0.066933164,0.678628654
1,0.003327915,0.915031112,0.406668942,0.778547027
0,0.004294526,0.903544494,0.48223078,0.797140007
0,0.006952864,0.936347817,0.488519475,0.858451492
0,0.018572173,0.942043664,0.476478331,0.958369864
0,0.014752528,0.928823726,0.488129479,0.877588657
0,0.007207466,0.934188186,0.469165895,0.883786317
0,0.006465502,0.931638648,0.48227953,0.847900354
0,0.0063875,0.929574206,0.464193438,0.841611996
0,0.018921002,0.933718216,0.475893336,0.899446745
0,0.010226489,0.927521695,0.473504607,0.9142002
0,0.013543795,0.932855984,0.503534344,0.886688636
0,0.007589992,0.941790765,0.478330815,0.934576896
0,0.012313846,0.940692863,0.496368157,0.859993349
0,0.008744434,0.942619685,0.544825233,0.897209541
